"","occ","occsoc"
"1","Accountants and Auditors",NA
"2","Actors, Producers, and Directors",NA
"3","Actuaries",NA
"4","Adhesive Bonding Machine Operators and Tenders",NA
"5","Administrative Services Managers",NA
"6","Advertising Sales Agents",NA
"7","Aerospace Engineers",NA
"8","Agents and Business Managers of Artists, Performers, and Athletes",NA
"9","Agricultural and Food Science Technicians",NA
"10","Agricultural and Food Scientists",NA
"11","Agricultural Inspectors",NA
"12","Agricultural workers, nec",NA
"13","Air Traffic Controllers and Airfield Operations Specialists",NA
"14","Aircraft Mechanics and Service Technicians",NA
"15","Aircraft Pilots and Flight Engineers",NA
"16","Animal Control",NA
"17","Animal Trainers",NA
"18","Announcers",NA
"19","Appraisers and Assessors of Real Estate",NA
"20","Architects, Except Naval",NA
"21","Architectural and Engineering Managers",NA
"22","Archivists, Curators, and Museum Technicians",NA
"23","Artists and Related Workers",NA
"24","Assemblers and Fabricators, nec",NA
"25","Astronomers and Physicists",NA
"26","Athletes, Coaches, Umpires, and Related Workers",NA
"27","Atmospheric and Space Scientists",NA
"28","Audiologists",NA
"29","Automotive and Watercraft Service Attendants",NA
"30","Automotive Body and Related Repairers",NA
"31","Automotive Glass Installers and Repairers",NA
"32","Automotive Service Technicians and Mechanics",NA
"33","Avionics Technicians",NA
"34","Baggage Porters, Bellhops, and Concierges",NA
"35","Bakers",NA
"36","Bank Tellers",NA
"37","Barbers",NA
"38","Bartenders",NA
"39","Bill and Account Collectors",NA
"40","Billing and Posting Clerks",NA
"41","Biological Scientists",NA
"42","Biological Technicians",NA
"43","Boilermakers",NA
"44","Bookbinders, Printing Machine Operators, and Job Printers",NA
"45","Bookkeeping, Accounting, and Auditing Clerks",NA
"46","Brickmasons, Blockmasons, and Stonemasons",NA
"47","Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other",NA
"48","Budget Analysts",NA
"49","Bus and Ambulance Drivers and Attendants",NA
"50","Bus and Truck Mechanics and Diesel Engine Specialists",NA
"51","Butchers and Other Meat, Poultry, and Fish Processing Workers",NA
"52","Buyers and Purchasing Agents, Farm Products",NA
"53","Cabinetmakers and Bench Carpenters",NA
"54","Cargo and Freight Agents",NA
"55","Carpenters",NA
"56","Carpet, Floor, and Tile Installers and Finishers",NA
"57","Cashiers",NA
"58","Cement Masons, Concrete Finishers, and Terrazzo Workers",NA
"59","Chefs and Cooks",NA
"60","Chemical Engineers",NA
"61","Chemical Processing Machine Setters, Operators, and Tenders",NA
"62","Chemical Technicians",NA
"63","Chemists and Materials Scientists",NA
"64","Chief executives and legislators/public administration",NA
"65","Childcare Workers",NA
"66","Chiropractors",NA
"67","Civil Engineers",NA
"68","Claims Adjusters, Appraisers, Examiners, and Investigators",NA
"69","Cleaners of Vehicles and Equipment",NA
"70","Clergy",NA
"71","Clinical Laboratory Technologists and Technicians",NA
"72","Coin, Vending, and Amusement Machine Servicers and Repairers",NA
"73","Combined Food Preparation and Serving Workers, Including Fast Food",NA
"74","Community and Social Service Specialists, nec",NA
"75","Compliance Officers, Except Agriculture",NA
"76","Computer and Information Systems Managers",NA
"77","Computer Control Programmers and Operators",NA
"78","Computer Hardware Engineers",NA
"79","Computer Programmers",NA
"80","Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers",NA
"81","Computer Support Specialists",NA
"82","Computer, Automated Teller, and Office Machine Repairers",NA
"83","Conservation Scientists and Foresters",NA
"84","Construction and Building Inspectors",NA
"85","Construction equipment operators except paving, surfacing, and tamping equipment operators",NA
"86","Construction Laborers",NA
"87","Construction workers, nec",NA
"88","Constructions Managers",NA
"89","Control and Valve Installers and Repairers",NA
"90","Conveyor operators and tenders, and hoist and winch operators",NA
"91","Correspondent clerks and order clerks",NA
"92","Cost Estimators",NA
"93","Counselors",NA
"94","Counter and Rental Clerks",NA
"95","Couriers and Messengers",NA
"96","Court, Municipal, and License Clerks",NA
"97","Crane and Tower Operators",NA
"98","Credit Analysts",NA
"99","Credit Authorizers, Checkers, and Clerks",NA
"100","Credit Counselors and Loan Officers",NA
"101","Crossing Guards",NA
"102","Crushing, Grinding, Polishing, Mixing, and Blending Workers",NA
"103","Customer Service Representatives",NA
"104","Cutting Workers",NA
"105","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",NA
"106","Dancers and Choreographers",NA
"107","Data Entry Keyers",NA
"108","Database Administrators",NA
"109","Dental Assistants",NA
"110","Dental Hygienists",NA
"111","Dentists",NA
"112","Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",NA
"113","Designers",NA
"114","Diagnostic Related Technologists and Technicians",NA
"115","Dieticians and Nutritionists",NA
"116","Directors, Religious Activities and Education",NA
"117","Dishwashers",NA
"118","Dispatchers",NA
"119","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",NA
"120","Drafters",NA
"121","Driver/Sales Workers and Truck Drivers",NA
"122","Drywall Installers, Ceiling Tile Installers, and Tapers",NA
"123","Earth Drillers, Except Oil and Gas",NA
"124","Economists and market researchers",NA
"125","Editors, News Analysts, Reporters, and Correspondents",NA
"126","Education Administrators",NA
"127","Education, Training, and Library Workers, nec",NA
"128","Electric Motor, Power Tool, and Related Repairers",NA
"129","Electrical and Electronics Engineers",NA
"130","Electrical and electronics repairers, transportation equipment, and industrial and utility",NA
"131","Electrical Power-Line Installers and Repairers",NA
"132","Electrical, Electronics, and Electromechanical Assemblers",NA
"133","Electricians",NA
"134","Electronic Home Entertainment Equipment Installers and Repairers",NA
"135","Elementary and Middle School Teachers",NA
"136","Elevator Installers and Repairers",NA
"137","Eligibility Interviewers, Government Programs",NA
"138","Emergency Medical Technicians and Paramedics",NA
"139","Engine and Other Machine Assemblers",NA
"140","Engineering Technicians, Except Drafters",NA
"141","Engineers, nec",NA
"142","Entertainers and Performers, Sports and Related Workers, All Other",NA
"143","Entertainment Attendants and Related Workers, nec",NA
"144","Environmental Engineers",NA
"145","Environmental Scientists and Geoscientists",NA
"146","Etchers, Engravers, and Lithographers",NA
"147","Explosives Workers, Ordnance Handling Experts, and Blasters",NA
"148","Extraction workers, nec",NA
"149","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",NA
"150","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",NA
"151","Farmers, Ranchers, and Other Agricultural Managers",NA
"152","Fence Erectors",NA
"153","File Clerks",NA
"154","Financial Analysts",NA
"155","Financial Clerks, nec",NA
"156","Financial Examiners",NA
"157","Financial Managers",NA
"158","Financial Specialists, nec",NA
"159","Fire Inspectors",NA
"160","Firefighters",NA
"161","First-Line Enlisted Military Supervisors",NA
"162","First-Line Supervisors of Construction Trades and Extraction Workers",NA
"163","First-Line Supervisors of Correctional Officers",NA
"164","First-Line Supervisors of Farming, Fishing, and Forestry Workers",NA
"165","First-Line Supervisors of Fire Fighting and Prevention Workers",NA
"166","First-Line Supervisors of Food Preparation and Serving Workers",NA
"167","First-Line Supervisors of Housekeeping and Janitorial Workers",NA
"168","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",NA
"169","First-Line Supervisors of Mechanics, Installers, and Repairers",NA
"170","First-Line Supervisors of Office and Administrative Support Workers",NA
"171","First-Line Supervisors of Personal Service Workers",NA
"172","First-Line Supervisors of Police and Detectives",NA
"173","First-Line Supervisors of Production and Operating Workers",NA
"174","First-Line Supervisors of Sales Workers",NA
"175","Fishing and hunting workers",NA
"176","Flight Attendants and Transportation Workers and Attendants",NA
"177","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",NA
"178","Food Batchmakers",NA
"179","Food Cooking Machine Operators and Tenders",NA
"180","Food preparation and serving related workers, nec",NA
"181","Food Preparation Workers",NA
"182","Food Processing, nec",NA
"183","Food Servers, Nonrestaurant",NA
"184","Food Service and Lodging Managers",NA
"185","Forest and Conservation Workers",NA
"186","Funeral Service Workers and Embalmers",NA
"187","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",NA
"188","Furniture Finishers",NA
"189","Gaming Services Workers",NA
"190","General and Operations Managers",NA
"191","Glaziers",NA
"192","Graders and Sorters, Agricultural Products",NA
"193","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",NA
"194","Grounds Maintenance Workers",NA
"195","Hairdressers, Hairstylists, and Cosmetologists",NA
"196","Hazardous Materials Removal Workers",NA
"197","Health Diagnosing and Treating Practitioner Support Technicians",NA
"198","Health Diagnosing and Treating Practitioners, nec",NA
"199","Health Technologists and Technicians, nec",NA
"200","Healthcare Practitioners and Technical Occupations, nec",NA
"201","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",NA
"202","Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics",NA
"203","Helpers--Installation, Maintenance, and Repair Workers",NA
"204","Helpers--Production Workers",NA
"205","Helpers, Construction Trades",NA
"206","Highway Maintenance Workers",NA
"207","Home Appliance Repairers",NA
"208","Host and Hostesses, Restaurant, Lounge, and Coffee Shop",NA
"209","Hotel, Motel, and Resort Desk Clerks",NA
"210","Human Resources Assistants, Except Payroll and Timekeeping",NA
"211","Human Resources Managers",NA
"212","Human Resources, Training, and Labor Relations Specialists",NA
"213","Industrial and Refractory Machinery Mechanics",NA
"214","Industrial Engineers, including Health and Safety",NA
"215","Industrial Production Managers",NA
"216","Industrial Truck and Tractor Operators",NA
"217","Information and Record Clerks, All Other",NA
"218","Inspectors, Testers, Sorters, Samplers, and Weighers",NA
"219","Insulation Workers",NA
"220","Insurance Claims and Policy Processing Clerks",NA
"221","Insurance Sales Agents",NA
"222","Insurance Underwriters",NA
"223","Interviewers, Except Eligibility and Loan",NA
"224","Janitors and Building Cleaners",NA
"225","Jewelers and Precious Stone and Metal Workers",NA
"226","Laborers and Freight, Stock, and Material Movers, Hand",NA
"227","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",NA
"228","Laundry and Dry-Cleaning Workers",NA
"229","Law enforcement workers, nec",NA
"230","Lawyers, and judges, magistrates, and other judicial workers",NA
"231","Legal Support Workers, nec",NA
"232","Librarians",NA
"233","Library Assistants, Clerical",NA
"234","Library Technicians",NA
"235","Licensed Practical and Licensed Vocational Nurses",NA
"236","Life, Physical, and Social Science Technicians, nec",NA
"237","Loan Interviewers and Clerks",NA
"238","Locksmiths and Safe Repairers",NA
"239","Locomotive Engineers and Operators",NA
"240","Logging Workers",NA
"241","Logisticians",NA
"242","Machine Feeders and Offbearers",NA
"243","Machinists",NA
"244","Maids and Housekeeping Cleaners",NA
"245","Mail Clerks and Mail Machine Operators, Except Postal Service",NA
"246","Maintenance and Repair Workers, General",NA
"247","Maintenance Workers, Machinery",NA
"248","Management Analysts",NA
"249","Managers in Marketing, Advertising, and Public Relations",NA
"250","Managers, nec (including Postmasters)",NA
"251","Marine Engineers and Naval Architects",NA
"252","Massage Therapists",NA
"253","Material moving workers, nec",NA
"254","Materials Engineers",NA
"255","Mathematical science occupations, nec",NA
"256","Mechanical Engineers",NA
"257","Media and Communication Workers, nec",NA
"258","Medical and Health Services Managers",NA
"259","Medical Assistants and Other Healthcare Support Occupations, nec",NA
"260","Medical Records and Health Information Technicians",NA
"261","Medical Scientists, and Life Scientists, All Other",NA
"262","Medical, Dental, and Ophthalmic Laboratory Technicians",NA
"263","Meeting and Convention Planners",NA
"264","Metal Furnace Operators, Tenders, Pourers, and Casters",NA
"265","Metal workers and plastic workers, nec",NA
"266","Meter Readers, Utilities",NA
"267","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members",NA
"268","Military Officer Special and Tactical Operations Leaders",NA
"269","Military, Rank Not Specified",NA
"270","Millwrights",NA
"271","Mining Machine Operators",NA
"272","Models, Demonstrators, and Product Promoters",NA
"273","Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",NA
"274","Molders, Shapers, and Casters, Except Metal and Plastic",NA
"275","Motor Vehicle Operators, All Other",NA
"276","Musicians, Singers, and Related Workers",NA
"277","Natural Science Managers",NA
"278","Network and Computer Systems Administrators",NA
"279","New Account Clerks",NA
"280","Nonfarm Animal Caretakers",NA
"281","Nursing, Psychiatric, and Home Health Aides",NA
"282","Occupational Therapists",NA
"283","Occupational Therapy Assistants and Aides",NA
"284","Office and administrative support workers, nec",NA
"285","Office Clerks, General",NA
"286","Office Machine Operators, Except Computer",NA
"287","Operations Research Analysts",NA
"288","Opticians, Dispensing",NA
"289","Optometrists",NA
"290","Other Business Operations and Management Specialists",NA
"291","Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers",NA
"292","Other production workers including semiconductor processors and cooling and freezing equipment operators",NA
"293","Other Teachers and Instructors",NA
"294","Packaging and Filling Machine Operators and Tenders",NA
"295","Packers and Packagers, Hand",NA
"296","Painters, Construction and Maintenance",NA
"297","Painting Workers and Dyers",NA
"298","Paper Goods Machine Setters, Operators, and Tenders",NA
"299","Paralegals and Legal Assistants",NA
"300","Parking Lot Attendants",NA
"301","Parts Salespersons",NA
"302","Payroll and Timekeeping Clerks",NA
"303","Personal Appearance Workers, nec",NA
"304","Personal Care Aides",NA
"305","Personal Care and Service Workers, All Other",NA
"306","Personal Financial Advisors",NA
"307","Pest Control Workers",NA
"308","Petroleum, mining and geological engineers, including mining safety engineers",NA
"309","Pharmacists",NA
"310","Photographers",NA
"311","Photographic Process Workers and Processing Machine Operators",NA
"312","Physical Scientists, nec",NA
"313","Physical Therapist Assistants and Aides",NA
"314","Physical Therapists",NA
"315","Physician Assistants",NA
"316","Physicians and Surgeons",NA
"317","Pipelayers, Plumbers, Pipefitters, and Steamfitters",NA
"318","Plant and System Operators, nec",NA
"319","Plasterers and Stucco Masons",NA
"320","Podiatrists",NA
"321","Police Officers and Detectives",NA
"322","Postal Service Clerks",NA
"323","Postal Service Mail Carriers",NA
"324","Postal Service Mail Sorters, Processors, and Processing Machine Operators",NA
"325","Postsecondary Teachers",NA
"326","Power Plant Operators, Distributors, and Dispatchers",NA
"327","Precision Instrument and Equipment Repairers",NA
"328","Prepress Technicians and Workers",NA
"329","Preschool and Kindergarten Teachers",NA
"330","Pressers, Textile, Garment, and Related Materials",NA
"331","Private Detectives and Investigators",NA
"332","Procurement Clerks",NA
"333","Production, Planning, and Expediting Clerks",NA
"334","Proofreaders and Copy Markers",NA
"335","Property, Real Estate, and Community Association Managers",NA
"336","Psychologists",NA
"337","Public Relations Specialists",NA
"338","Pumping Station Operators",NA
"339","Purchasing Agents, Except Wholesale, Retail, and Farm Products",NA
"340","Purchasing Managers",NA
"341","Radiation Therapists",NA
"342","Radio and Telecommunications Equipment Installers and Repairers",NA
"343","Rail-Track Laying and Maintenance Equipment Operators",NA
"344","Railroad Conductors and Yardmasters",NA
"345","Real Estate Brokers and Sales Agents",NA
"346","Receptionists and Information Clerks",NA
"347","Recreation and Fitness Workers",NA
"348","Recreational Therapists",NA
"349","Refuse and Recyclable Material Collectors",NA
"350","Registered Nurses",NA
"351","Religious Workers, nec",NA
"352","Reservation and Transportation Ticket Agents and Travel Clerks",NA
"353","Residential Advisors",NA
"354","Respiratory Therapists",NA
"355","Retail Salespersons",NA
"356","Riggers",NA
"357","Roofers",NA
"358","Sailors and marine oilers, and ship engineers",NA
"359","Sales and Related Workers, All Other",NA
"360","Sales Engineers",NA
"361","Sales Representatives, Services, All Other",NA
"362","Sales Representatives, Wholesale and Manufacturing",NA
"363","Sawing Machine Setters, Operators, and Tenders, Wood",NA
"364","Secondary School Teachers",NA
"365","Secretaries and Administrative Assistants",NA
"366","Securities, Commodities, and Financial Services Sales Agents",NA
"367","Security and Fire Alarm Systems Installers",NA
"368","Security Guards and Gaming Surveillance Officers",NA
"369","Sewing Machine Operators",NA
"370","Sheet Metal Workers, metal-working",NA
"371","Sheriffs, Bailiffs, Correctional Officers, and Jailers",NA
"372","Ship and Boat Captains and Operators",NA
"373","Shipping, Receiving, and Traffic Clerks",NA
"374","Shoe and Leather Workers and Repairers",NA
"375","Small Engine Mechanics",NA
"376","Social and Community Service Managers",NA
"377","Social Scientists, nec",NA
"378","Social Workers",NA
"379","Software Developers, Applications and Systems Software",NA
"380","Special Education Teachers",NA
"381","Speech Language Pathologists",NA
"382","Stationary Engineers and Boiler Operators",NA
"383","Statistical Assistants",NA
"384","Stock Clerks and Order Fillers",NA
"385","Structural Iron and Steel Workers",NA
"386","Structural Metal Fabricators and Fitters",NA
"387","Subway, Streetcar, and Other Rail Transportation Workers",NA
"388","Supervisors of Transportation and Material Moving Workers",NA
"389","Supervisors, Protective Service Workers, All Other",NA
"390","Surveying and Mapping Technicians",NA
"391","Surveyors, Cartographers, and Photogrammetrists",NA
"392","Switchboard Operators, Including Answering Service",NA
"393","Tailors, Dressmakers, and Sewers",NA
"394","Tax Examiners and Collectors, and Revenue Agents",NA
"395","Tax Preparers",NA
"396","Taxi Drivers and Chauffeurs",NA
"397","Teacher Assistants",NA
"398","Technical Writers",NA
"399","Telecommunications Line Installers and Repairers",NA
"400","Telemarketers",NA
"401","Telephone Operators",NA
"402","Television, Video, and Motion Picture Camera Operators and Editors",NA
"403","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",NA
"404","Textile, Apparel, and Furnishings workers, nec",NA
"405","Therapists, nec",NA
"406","Tire Builders",NA
"407","Tool and Die Makers",NA
"408","Tour and Travel Guides",NA
"409","Transportation Inspectors",NA
"410","Transportation workers, nec",NA
"411","Transportation, Storage, and Distribution Managers",NA
"412","Travel Agents",NA
"413","Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked",NA
"414","Upholsterers",NA
"415","Urban and Regional Planners",NA
"416","Ushers, Lobby Attendants, and Ticket Takers",NA
"417","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers, nec",NA
"418","Veterinarians",NA
"419","Waiters and Waitresses",NA
"420","Water Wastewater Treatment Plant and System Operators",NA
"421","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",NA
"422","Welding, Soldering, and Brazing Workers",NA
"423","Wholesale and Retail Buyers, Except Farm Products",NA
"424","Woodworkers including model makers and patternmakers, nec",NA
"425","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",NA
"426","Word Processors and Typists",NA
"427","Writers and Authors",NA
